Outlier,Twelve Foot Ninja,2016-08-26,Experimental;Progressive Metal;Alternative Metal;Alternative Rock
Silent Machine,Twelve Foot Ninja,2012-11-02,Experimental;Progressive Metal;Alternative Metal
Vengeance,Twelve Foot Ninja,2021-10-15,Experimental;Progressive Metal;Alternative Metal;Alternative Rock
Themata,Karnivool,2005-01-01,Progressive Rock;Alternative Rock;Rock;Metal
Sound Awake,Karnivool,2009-06-05,Progressive Rock;Alternative Rock;Rock
Asymmetry,Karnivool,2013-01-01,Progressive Rock;Progressive Metal
In Absentia,Porcupine Tree,2002-06-18,Progressive Rock;Rock
Deadwing,Porcupine Tree,2005-01-03,Progressive Rock;Rock
Fear of a Blank Planet,Porcupine Tree,2006-12-31,Progressive Rock;Rock
Closure / Continuation,Porcupine Tree,2022-06-23,Progressive Rock;Alternative Rock;Rock
Altered State,TesseracT,2013-05-24,Progressive Metal;Djent;Math Metal
Polaris,TesseracT,2015-09-16,Progressive Metal;Djent;Math Metal
Sonder,TesseracT,2018-04-20,Progressive Metal;Progressive Rock;Ambient
From Mars to Sirius,Gojira,2005-01-01,Progressive Death Metal;Death Metal;Progressive Metal
The Way of All Flesh,Gojira,2008-10-13,Progressive Death Metal;Death Metal;Progressive Metal;Groove Metal
L'Enfant Sauvage,Gojira,2012-06-22,Progressive Death Metal;Death Metal;Progressive Metal
Magma,Gojira,2016-06-16,Progressive Death Metal;Death Metal;Progressive Metal
Fortitude,Gojira,2021-04-29,Progressive Death Metal;Death Metal;Progressive Metal
Undertow,Tool,1993-04-06,Progressive Metal;Progressive Rock;Alternative Metal
Aenima,Tool,1996-01-01,Progressive Metal;Progressive Rock;Metal;Rock
Lateralus,Tool,2001-05-11,Progressive Metal;Progressive Rock;Metal;Rock
10000 Days,Tool,2006-04-28,Progressive Metal;Progressive Rock;Metal;Rock
Fear Inoculum,Tool,2019-08-30,Progressive Metal;Progressive Rock;Metal;Rock
Hand.Cannot.Erase,Steven Wilson,2015-03-01,Progressive Rock
To the Bone,Steven Wilson,2017-08-17,Progressive Pop;Rock
The Raven That Refused to Sing,Steven Wilson,2013-02-25,Progressive Rock
THE FUTURE BITES,Steven Wilson,2021-01-29,Synth-pop;Electronic
