1,In Absentia,Blackest Eyes,4:23
2,In Absentia,Trains,5:56
3,In Absentia,Lips of Ashes,4:39
4,In Absentia,The Sound of Muzak,4:59
5,In Absentia,Gravity Eyelids,7:56
6,In Absentia,Wedding Nails,6:33
7,In Absentia,Prodigal,5:32
8,In Absentia,.3,5:25
9,In Absentia,The Creator Has a Mastertape,5:21
10,In Absentia,Heartattack in a Layby,4:15
11,In Absentia,Strip the Soul,7:21
12,In Absentia,Collapse the Light Into Earth,5:54
1,Deadwing,Deadwing,9:46
2,Deadwing,Shallow,4:17
3,Deadwing,Lazarus,4:18
4,Deadwing,Halo,4:38
5,Deadwing,Arriving Somewhere but Not Here,12:02
6,Deadwing,Mellotron Scratch,6:57
7,Deadwing,Open Car,3:46
8,Deadwing,Start of Something Beautiful,7:39
9,Deadwing,Glass Arm Shattering,6:17
1,Fear of a Blank Planet,Fear of a Blank Planet,7:28
2,Fear of a Blank Planet,My Ashes,5:07
3,Fear of a Blank Planet,Anesthetize,17:42
4,Fear of a Blank Planet,Sentimental,5:26
5,Fear of a Blank Planet,Way Out of Here,7:37
6,Fear of a Blank Planet,Sleep Together,7:28
1,Closure / Continuation,Harridan,8:07
2,Closure / Continuation,Of the New Day,4:43
3,Closure / Continuation,Rats Return,5:40
4,Closure / Continuation,Dignity,8:22
5,Closure / Continuation,Herd Culling,7:03
6,Closure / Continuation,Walk the Plank,4:27
7,Closure / Continuation,Chimera's Wreck,9:39
1,From Mars to Sirius,Ocean Planet,5:32
2,From Mars to Sirius,Backbone,4:18
3,From Mars to Sirius,From the Sky,5:48
4,From Mars to Sirius,Unicorn,2:09
5,From Mars to Sirius,Where Dragons Dwell,6:54
6,From Mars to Sirius,The Heaviest Matter of the Universe,3:57
7,From Mars to Sirius,Flying Whales,7:44
8,From Mars to Sirius,In the Wilderness,7:47
9,From Mars to Sirius,World to Come,6:52
10,From Mars to Sirius,From Mars,2:24
11,From Mars to Sirius,To Sirius,5:37
12,From Mars to Sirius,Global Warming,7:50
1,The Way of All Flesh,Oroborus,5:21
2,The Way of All Flesh,Toxic Garbage Island,4:06
3,The Way of All Flesh,A Sight to Behold,5:09
4,The Way of All Flesh,Yama's Messengers,4:03
5,The Way of All Flesh,The Silver Cord,2:31
6,The Way of All Flesh,All the Tears,3:40
7,The Way of All Flesh,Adoration for None,6:19
8,The Way of All Flesh,The Art of Dying,9:54
9,The Way of All Flesh,Esoteric Surgery,5:44
10,The Way of All Flesh,Vacuity,4:51
11,The Way of All Flesh,Wolf Down the Earth,6:25
12,The Way of All Flesh,The Way of All Flesh,17:03
